user,VIP,dynamic,foucs,fans,district,listen_songs,acclaim,comment,time,content
你我都是麻瓜,False,0,8,6,陕西省 - 西安市,1637,0,1,2020-06-03 23:35:01,我十岁时出的
要554427,False,7,6,4,广东省 - 佛山市,1248,3,1,2020-06-03 14:47:44,现在跟我在kfc啃书呢 [流泪]
齐云轩,False,0,6,3,江苏省 - 南京市,5051,1,1,2020-06-03 10:53:24,如果8岁的话，4年已经是半辈子之前的事了
王鹏微成人,True,3,1,7,四川省 - 成都市,7703,3,0,2020-06-03 10:06:05,愚人的我不是不明白 看透不说透而已 你为什么还不满足把自己看清楚  我在我的国度里看悲欢喜乐每一步 也不知道是因为疲惫还是依赖的束缚 该坚持还是放手
大大栗子君,False,7,7,6,吉林省 - 通化市,8202,3,0,2020-06-03 09:31:25,懂了 知道怎么是爱了
adange24,False,2,23,1,江苏省 - 南京市,4059,1,0,2020-06-03 08:40:04,真好听
柚仔gogogo,False,0,4,0,辽宁省 - 沈阳市,411,2,1,2020-06-03 08:05:52,东西南北四条街 打听打听谁是爹
是个小可爱啊哈哈,True,0,43,4,湖北省 - 武汉市,1558,1,1,2020-06-02 19:22:23,我们的经历一样呢，五一分的，这几天好了些但是偶尔半夜会惊醒，会好的，我们会的[爱心]
今日不开心就怪了吖,False,0,4,1,海外 - 其它,748,1,0,2020-06-02 14:54:15,好好笑啊，有个人在愚人节向我告白，可惜......我爱的不是你啊
喋世1118,False,2,6,22,湖北省 - 武汉市,2922,1,1,2020-06-02 11:48:00,顶一下
喋世1118,False,2,6,22,湖北省 - 武汉市,2922,1,1,2020-06-02 11:47:47,希望有一个人能懂得[爱心]
喋世1118,False,2,6,22,湖北省 - 武汉市,2922,6,0,2020-06-02 11:47:02,是不是爱情中的人都会变傻明知没结果，但还是愿意。
rayen_啾啾,False,0,9,7,,2108,1,0,2020-06-02 10:42:02,好听(ง •̀_•́)ง
李野z,True,0,14,7,广西 - 桂林市,5307,4,0,2020-06-01 20:51:01,结尾几乎都是u结尾
开着三轮上五环,True,2,16,8,江西省 - 上饶市,3893,1,1,2020-06-01 15:41:39,我想半天，也没想到太宰治会写出这种话。你走时乱了四季。
傻乐O,False,81,34,21,河南省 - 鹤壁市,4447,2,0,2020-06-01 11:49:49,笑忘书
-Ksq,False,37,11,7,湖北省 - 武汉市,2033,2,1,2020-06-01 11:21:21,9年了
啊哈哈哈哈哈哈哈哈QAQ,False,1,79,23,,2913,1,0,2020-06-01 10:31:05,听了无数遍学不会的一首歌
缘尽1014,False,0,15,1,山东省 - 临沂市,387,1,1,2020-05-31 22:18:34,要99
舰型巨胖,True,48,25,73,四川省 - 乐山市,14061,1,0,2020-05-31 22:07:26,听歌多了，不管谁唱，开始前看看作词作曲人就知道这歌好不好了。李焯雄+李偲菘这俩单独都能杀我，还别说放一块儿了。杀伤力更强，再加上孙燕姿来，好了，这歌不香还有谁香？嗯？
乖一点YY,False,16,284,17,,2120,1,0,2020-05-31 00:03:15,怎么觉得这首旋律和笑忘书很像（就是觉得有点像）
请叫我兔子峰,True,0,6,4,四川省 - 广元市,1819,1,0,2020-05-30 23:40:34,和你在一起的每一天，都仿佛在过愚人节。每天都在欺骗自己，你其实很爱我。
白云在jiu,False,0,8,1,甘肃省 - 兰州市,5969,0,0,2020-05-30 23:02:59,  你还好吗？
蘑菇丢丢的呦,False,0,11,4,甘肃省 - 金昌市,2746,0,0,2020-05-30 20:35:59,好几年前KTV必唱的曲目，已经很多年都不去KTV了。岁月神偷[呆]
搂云航,False,0,1,0,广东省 - 清远市,378,0,1,2020-05-30 15:16:36,漂亮
变得甜点吧,False,4,24,17,,3989,2,0,2020-05-30 09:53:07,我不无辜，可我也没有罪，我只不过是喜欢着一个人
杂匿3,False,0,9,2,,2720,2,1,2020-05-30 08:59:23,九年了
立夏咿呀咿呀呦,False,0,2,2,北京市 ,4826,1,0,2020-05-30 01:01:55,有时候感觉身边的朋友们都长大了，全世界都不约而同的向前看，只有我一个人还在追惜过去，恋恋不舍
哎o你头发乱了哦,False,49,55,6,,2381,0,1,2020-05-29 15:52:47,我也好喜欢YOGA🙏🙏🙏
许愿小琪酱,True,4,23,186,,20521,4,0,2020-05-29 08:26:10,每次听到这首歌就好想哭好想哭 不知道为什么
若水biubiu,False,0,1,1,湖北省 - 武汉市,1635,1,0,2020-05-29 08:23:12,27岁的我欠孙麻麻一张演唱会门票
现在起床还来得及,True,0,16,2,,5149,0,0,2020-05-29 07:40:03,之前好像有几年没有网易没版权
春野尽,False,27,22,7,,2117,0,1,2020-05-28 23:57:27,以前我很喜欢阿狸的
阿弥陀佛我会好好的,False,1,23,4,,1856,0,0,2020-05-28 22:20:20,这歌是11年的？
CGNH,True,4,23,20,黑龙江省 - 哈尔滨市,2712,0,0,2020-05-28 18:21:59,好久没听了，还是那么抓耳好听
NeverGiveup-JR,False,0,4,1,安徽省 - 合肥市,475,1,0,2020-05-28 07:02:36,你好啊！王小夸
桃必死,False,0,14,6,江苏省 - 苏州市,7548,1,0,2020-05-27 23:33:29,9年后在日推听到，错过这首歌这么多年哈哈
萌乎乎的亚历山大,False,0,19,5,上海市 ,3402,1,0,2020-05-27 20:40:04,太好听了
请叫我聰哥_,True,7,8,4,浙江省 - 衢州市,10305,1,0,2020-05-27 17:14:27,这首歌好厉害.
Some低调,False,0,8,0,广东省 - 深圳市,11280,1,0,2020-05-27 15:30:16,怎么听起来感觉跟李荣浩的一首歌很像呢
冬天我愛吃火鍋,False,201,39,11,山东省 - 威海市,3851,0,0,2020-05-27 15:24:51,这么好听的歌评论这么少。11年那年高考，当时的同桌很喜欢这首歌
早睡的Sara,False,1,9,0,河北省 - 石家庄市,482,3,0,2020-05-27 15:12:50,別說「永遠」「永遠」讓我絕望一生太長一切都有結局而我能想到的美好衹是和平愛是愚人自愚
莉莉红毛衣,False,3,154,88,,9283,1,0,2020-05-27 15:02:39,我就一自找不快的傻x
钟不顾,False,1,18,1,河南省 - 焦作市,1558,0,1,2020-05-27 10:35:54,哈哈，我也喜欢这两首，另外，同样喜欢篮球（你的名字[强]）。
项郁,False,0,10,1,河南省 - 信阳市,3380,0,0,2020-05-26 22:30:36,眼瞅着要过万了
顾然1704,False,0,7,2,福建省 - 厦门市,3171,1,1,2020-05-26 21:50:41,九年了
慢田,False,20,13,5,,9604,4,1,2020-05-26 21:43:10,太宰治：来来来笔给你，敞开写
酥年weisir-一个特效一个愿望,False,13,12,2219,浙江省 - 杭州市,3020,1,0,2020-05-26 20:56:42,为什么不能将就呢？自欺欺人也好
